SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
993525,NCC,000000-00-0,,0,UNKNOWN AMOUNT,LIQUID AQUA BLENDED PHOSPHATE,NO,,
993527,TOL,000108-88-3,,110,POUND(S),TOLUENE,NO,,
993527,BNZ,000071-43-2,,440,POUND(S),BENZENE,NO,,
993528,HCL,007647-01-0,,0,UNKNOWN AMOUNT,HYDROCHLORIC ACID (31%),NO,,
993529,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
993529,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
993530,OHY,000000-00-0,,1,QUART(S),HYDRAULIC OIL,YES,1,QUART(S)
993531,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993532,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993534,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993535,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993536,GAS,000000-00-0,,4,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
993537,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993538,OTW,000000-00-0,,0.5,PINT(S),"OIL, FUEL: NO. 2",NO,,
993539,OIL,000000-00-0,,0.25,GALLON(S),OIL: CRUDE,YES,0.25,GALLON(S)
993540,NCC,000000-00-0,,70,GALLON(S),SEWAGE / GRAY WATER,YES,35,GALLON(S)
993541,OIL,000000-00-0,,0.9,GALLON(S),OIL: CRUDE,YES,0.9,GALLON(S)
993542,OTW,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2",NO,,
993543,OHY,000000-00-0,,3,GALLON(S),HYDRAULIC OIL,YES,3,GALLON(S)
993545,OHY,000000-00-0,,10,GALLON(S),HYDRAULIC OIL,NO,,
993548,NCC,000000-00-0,,0,UNKNOWN AMOUNT,BLACK SMOKE,NO,,
993550,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL (CHEMICAL CLOUD),NO,,
993552,ODS,000000-00-0,,0.25,TEASPOON(S),OIL: DIESEL,YES,0.25,TEASPOON(S)
993554,OLB,000000-00-0,,1,CUP(S),"OIL, MISC: LUBRICATING",YES,1,CUP(S)
993555,ODS,000000-00-0,,0.5,CUP(S),OIL: DIESEL,YES,0.5,CUP(S)
993558,ODS,000000-00-0,,100,GALLON(S),OIL: DIESEL,YES,100,GALLON(S)
993560,ODS,000000-00-0,,300,GALLON(S),OIL: DIESEL,YES,300,GALLON(S)
993561,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993562,OHY,000000-00-0,,5,GALLON(S),HYDRAULIC OIL,NO,,
993563,ASP,000000-00-0,,400,GALLON(S),ASPHALT,NO,,
